,Description,UnitPrice,TotalReturned,Total$Returned,Unit_Sold,Total_Revenue,Net_Revenue,Return_Rate
572,DOLLY GIRL CHILDRENS BOWL,1.25,1,1.25,625.0,781.25,780.0,0.16
573,DOLLY GIRL CHILDRENS EGG CUP,1.25,1,1.25,770.0,962.5,961.25,0.12987012987012986
574,DOLLY GIRL LUNCH BOX,1.95,71,138.45,3228.0,6294.599999999999,6156.15,2.199504337050805
575,DOLLY GIRL MINI BACKPACK,4.15,1,4.15,273.0,1132.95,1128.8,0.3663003663003663
576,DOOR HANGER  MUM + DADS ROOM,1.45,1,1.45,157.0,227.64999999999998,226.2,0.6369426751592357
577,DOORMAT 3 SMILEY CATS,7.95,2,15.9,189.0,1502.55,1486.6499999999999,1.0582010582010581
578,DOORMAT AIRMAIL,7.08,24,169.92000000000002,94.0,665.52,495.59999999999997,25.53191489361702
579,DOORMAT AIRMAIL,7.95,2,15.9,136.0,1081.2,1065.3,1.4705882352941175
580,DOORMAT AIRMAIL,8.25,1,8.25,68.0,561.0,552.75,1.4705882352941175
581,DOORMAT BLACK FLOCK,8.25,4,33.0,101.0,833.25,800.25,3.9603960396039604
582,DOORMAT ENGLISH ROSE,7.95,6,47.7,395.0,3140.25,3092.55,1.5189873417721518
583,DOORMAT FAIRY CAKE,6.75,670,4522.5,1000.0,6750.0,2227.5,67.0
584,DOORMAT FAIRY CAKE,7.95,2,15.9,264.0,2098.8,2082.9,0.7575757575757576
585,DOORMAT FANCY FONT HOME SWEET HOME,7.95,4,31.8,401.0,3187.9500000000003,3156.15,0.997506234413965
586,DOORMAT FANCY FONT HOME SWEET HOME,8.25,1,8.25,194.0,1600.5,1592.25,0.5154639175257731
587,DOORMAT HEARTS,7.95,3,23.85,630.0,5008.5,4984.65,0.4761904761904762
588,DOORMAT HOME SWEET HOME BLUE,7.95,4,31.8,254.0,2019.3,1987.5,1.574803149606299
589,DOORMAT HOME SWEET HOME BLUE,8.25,2,16.5,119.0,981.75,965.25,1.680672268907563
590,DOORMAT KEEP CALM AND COME IN,6.75,6,40.5,964.0,6507.0,6466.5,0.6224066390041494
591,DOORMAT KEEP CALM AND COME IN,7.08,210,1486.8,1889.0,13374.119999999999,11887.32,11.11699311805188
592,DOORMAT KEEP CALM AND COME IN,7.95,1,7.95,556.0,4420.2,4412.25,0.1798561151079137
593,DOORMAT KEEP CALM AND COME IN,8.25,8,66.0,555.0,4578.75,4512.75,1.4414414414414414
595,DOORMAT MERRY CHRISTMAS RED,8.25,2,16.5,161.0,1328.25,1311.75,1.2422360248447204
596,DOORMAT MULTICOLOUR STRIPE,7.95,2,15.9,137.0,1089.15,1073.25,1.4598540145985401
597,DOORMAT MULTICOLOUR STRIPE,8.25,1,8.25,33.0,272.25,264.0,3.0303030303030303
598,DOORMAT NEIGHBOURHOOD WITCH,7.95,1,7.95,61.0,484.95,477.0,1.639344262295082
599,DOORMAT NEIGHBOURHOOD WITCH,8.25,1,8.25,20.0,165.0,156.75,5.0
600,DOORMAT NEW ENGLAND,7.95,4,31.8,574.0,4563.3,4531.5,0.6968641114982579
601,DOORMAT RED RETROSPOT,6.75,20,135.0,972.0,6561.0,6426.0,2.05761316872428
602,DOORMAT RED RETROSPOT,7.08,34,240.72000000000003,374.0,2647.92,2407.2,9.090909090909092
603,DOORMAT RED RETROSPOT,7.95,1,7.95,575.0,4571.25,4563.3,0.17391304347826086
604,DOORMAT RESPECTABLE HOUSE,7.95,2,15.9,108.0,858.6,842.7,1.8518518518518516
605,DOORMAT SPOTTY HOME SWEET HOME,7.95,2,15.9,399.0,3172.05,3156.15,0.5012531328320802
606,DOORMAT SPOTTY HOME SWEET HOME,8.25,2,16.5,143.0,1179.75,1163.25,1.3986013986013985
607,DOORMAT TOPIARY,6.75,20,135.0,150.0,1012.5,877.5,13.333333333333334
608,DOORMAT TOPIARY,7.95,2,15.9,173.0,1375.3500000000001,1359.45,1.1560693641618496
609,DOORMAT TOPIARY,8.25,1,8.25,64.0,528.0,519.75,1.5625
610,DOORMAT UNION FLAG,7.95,5,39.75,630.0,5008.5,4968.75,0.7936507936507936
611,DOORMAT UNION FLAG,8.25,7,57.75,213.0,1757.25,1699.5,3.286384976525822
612,DOORMAT VINTAGE LEAF,7.95,1,7.95,17.0,135.15,127.2,5.88235294117647
613,DOORMAT VINTAGE LEAF,8.25,6,49.5,152.0,1254.0,1204.5,3.9473684210526314
614,DOORMAT WELCOME PUPPIES,7.95,4,31.8,274.0,2178.3,2146.5,1.4598540145985401
615,DOORMAT WELCOME PUPPIES,8.25,1,8.25,74.0,610.5,602.25,1.3513513513513513
616,DOORMAT WELCOME SUNRISE,7.95,2,15.9,102.0,810.9,795.0,1.9607843137254901
617,DOORMAT WELCOME SUNRISE,8.25,1,8.25,29.0,239.25,231.0,3.4482758620689653
618,DOORMAT WELCOME TO OUR HOME,7.95,3,23.85,381.0,3028.9500000000003,3005.1000000000004,0.7874015748031495
619,DOORSTOP RETROSPOT HEART,3.75,22,82.5,613.0,2298.75,2216.25,3.588907014681892
620,DOUGHNUT LIP GLOSS,1.25,40,50.0,6622.0,8277.5,8227.5,0.6040471156750227
621,DOVE DECORATION PAINTED ZINC,0.65,23,14.95,260.0,169.0,154.05,8.846153846153847
622,DRAWER KNOB CERAMIC BLACK,1.45,6,8.7,629.0,912.05,903.3499999999999,0.9538950715421303
623,DRAWER KNOB CERAMIC IVORY,1.45,9,13.049999999999999,1363.0,1976.35,1963.3,0.6603081438004402
624,DRAWER KNOB CRACKLE GLAZE BLUE,1.65,7,11.55,772.0,1273.8,1262.25,0.9067357512953367
625,DRAWER KNOB CRACKLE GLAZE GREEN,1.65,24,39.6,936.0,1544.3999999999999,1504.8,2.564102564102564
626,DRAWER KNOB CRACKLE GLAZE IVORY,1.65,46,75.9,1574.0,2597.1,2521.2,2.9224904701397714
627,DRAWER KNOB CRACKLE GLAZE PINK,1.65,20,33.0,904.0,1491.6,1458.6,2.2123893805309733
628,DRAWER KNOB VINTAGE GLASS BALL,2.08,6,12.48,294.0,611.52,599.04,2.0408163265306123
629,DRAWER KNOB VINTAGE GLASS STAR,2.08,14,29.12,353.0,734.24,705.12,3.9660056657223794
630,EASTER BUNNY HANGING GARLAND,1.25,1,1.25,54.0,67.5,66.25,1.8518518518518516
631,EASTER CRAFT 4 CHICKS,1.95,15,29.25,1119.0,2182.0499999999997,2152.7999999999997,1.3404825737265416
632,EASTER DECORATION SITTING BUNNY,0.85,1,0.85,322.0,273.7,272.84999999999997,0.3105590062111801
633,EASTER TIN BUNNY BOUQUET,1.65,19,31.349999999999998,496.0,818.4,787.05,3.8306451612903225
634,EASTER TIN CHICKS PINK DAISY,1.65,9,14.85,393.0,648.4499999999999,633.5999999999999,2.2900763358778624
635,EASTER TIN KEEPSAKE,1.65,10,16.5,463.0,763.9499999999999,747.4499999999999,2.159827213822894
636,EAU DE NILE HEART SHAPE PHOTO FRAME,1.65,1,1.65,161.0,265.65,264.0,0.6211180124223602
637,EAU DE NILE JEWELLED PHOTOFRAME,2.1,72,151.20000000000002,72.0,151.20000000000002,0.0,100.0
638,EAU DE NILE JEWELLED PHOTOFRAME,2.55,1,2.55,26.0,66.3,63.75,3.8461538461538463
639,EDWARDIAN PARASOL BLACK,4.95,121,598.95,1185.0,5865.75,5266.8,10.21097046413502
640,EDWARDIAN PARASOL BLACK,5.95,3,17.85,1081.0,6431.95,6414.099999999999,0.27752081406105455
641,EDWARDIAN PARASOL NATURAL,4.25,1,4.25,75.0,318.75,314.5,1.3333333333333335
642,EDWARDIAN PARASOL NATURAL,5.95,5,29.75,1500.0,8925.0,8895.25,0.33333333333333337
644,EDWARDIAN PARASOL PINK,5.95,3,17.85,301.0,1790.95,1773.1000000000001,0.9966777408637874
645,EDWARDIAN PARASOL RED,5.95,3,17.85,612.0,3641.4,3623.55,0.49019607843137253
646,EGG CUP HENRIETTA HEN CREAM,1.25,1,1.25,268.0,335.0,333.75,0.3731343283582089
647,EGG CUP HENRIETTA HEN PINK,1.25,1,1.25,175.0,218.75,217.5,0.5714285714285714
648,EGG CUP MILKMAID HEIDI,1.25,4,5.0,366.0,457.5,452.5,1.092896174863388
649,EGG CUP MILKMAID HELGA,1.25,5,6.25,252.0,315.0,308.75,1.984126984126984
650,EGG FRYING PAN IVORY,2.08,12,24.96,243.0,505.44,480.48,4.938271604938271
651,EGG FRYING PAN RED,2.08,6,12.48,300.0,624.0,611.52,2.0
652,"ELEPHANT, BIRTHDAY CARD,",0.42,12,5.04,1406.0,590.52,585.48,0.8534850640113799
653,EMBOSSED GLASS TEALIGHT HOLDER,1.25,19,23.75,1602.0,2002.5,1978.75,1.1860174781523096
654,EMBOSSED HEART TRINKET BOX,2.08,6,12.48,159.0,330.72,318.24,3.7735849056603774
655,EMERGENCY FIRST AID TIN,1.25,33,41.25,406.0,507.5,466.25,8.12807881773399
656,EMPIRE BIRTHDAY CARD,0.42,12,5.04,1068.0,448.56,443.52,1.1235955056179776
657,EMPIRE GIFT WRAP,0.42,25,10.5,2725.0,1144.5,1134.0,0.9174311926605505
658,EMPIRE UNION JACK TV DINNER TRAY,4.95,8,39.6,115.0,569.25,529.65,6.956521739130435
659,ENAMEL BLUE RIM COFFEE CONTAINER,0.83,13,10.790000000000001,75.0,62.25000000000001,51.46000000000001,17.333333333333336
660,ENAMEL BREAD BIN CREAM,10.95,8,87.6,131.0,1434.4499999999998,1346.85,6.106870229007633
661,ENAMEL BREAD BIN CREAM,12.75,20,255.0,461.0,5877.75,5622.75,4.3383947939262475
662,ENAMEL COLANDER CREAM,4.95,6,29.7,301.0,1489.95,1460.25,1.9933554817275747
663,ENAMEL FIRE BUCKET CREAM,6.95,3,20.85,190.0,1320.5,1299.65,1.5789473684210527
664,ENAMEL FLOWER JUG CREAM,5.45,12,65.4,802.0,4370.900000000001,4305.500000000001,1.4962593516209477
665,ENAMEL FLOWER JUG CREAM,5.95,29,172.55,1054.0,6271.3,6098.75,2.7514231499051234
666,ENAMEL MEASURING JUG CREAM,4.25,31,131.75,885.0,3761.25,3629.5,3.5028248587570623
667,ENAMEL WASH BOWL CREAM,3.75,11,41.25,324.0,1215.0,1173.75,3.3950617283950617
668,ENAMEL WATERING CAN CREAM,4.95,19,94.05000000000001,422.0,2088.9,1994.8500000000001,4.502369668246446
669,ENCHANTED BIRD COATHANGER 5 HOOK,4.65,5,23.25,541.0,2515.65,2492.4,0.9242144177449169
670,ENGLISH ROSE GARDEN SECATEURS,0.79,12,9.48,1221.0,964.59,955.11,0.9828009828009828
671,ENGLISH ROSE HOT WATER BOTTLE,4.25,1,4.25,719.0,3055.75,3051.5,0.13908205841446453
672,ENGLISH ROSE NOTEBOOK A7 SIZE,0.42,32,13.44,2475.0,1039.5,1026.06,1.2929292929292928
673,ENGLISH ROSE SCENTED HANGING FLOWER,0.75,2,1.5,405.0,303.75,302.25,0.49382716049382713
674,ENGLISH ROSE SPIRIT LEVEL,1.25,4,5.0,1.0,1.25,-3.75,400.0
675,ENVELOPE 50 BLOSSOM IMAGES,0.85,12,10.2,75.0,63.74999999999999,53.55,16.0
676,EUCALYPTUS & PINECONE  WREATH,6.75,9,60.75,32.0,216.0,155.25,28.125
677,FAIRY CAKE BIRTHDAY CANDLE SET,3.75,43,161.25,208.0,780.0,618.75,20.673076923076923
678,FAIRY CAKE DESIGN UMBRELLA,3.75,1,3.75,242.0,907.5,903.75,0.4132231404958678
679,FAIRY CAKE FLANNEL ASSORTED COLOUR,0.79,18,14.22,2919.0,2306.01,2291.7900000000004,0.6166495375128468
680,FAIRY CAKE FLANNEL ASSORTED COLOUR,2.1,3132,6577.200000000001,6345.0,13324.500000000002,6747.300000000001,49.361702127659576
681,FAIRY CAKES NOTEBOOK A6 SIZE,0.65,95,61.75,769.0,499.85,438.1,12.35370611183355
682,FAIRY CAKES NOTEBOOK A7 SIZE,0.42,48,20.16,1020.0,428.4,408.23999999999995,4.705882352941177
683,FAIRY SOAP SOAP HOLDER,1.69,1,1.69,194.0,327.86,326.17,0.5154639175257731
684,FAMILY ALBUM WHITE PICTURE FRAME,7.65,15,114.75,457.0,3496.05,3381.3,3.282275711159737
685,FAMILY ALBUM WHITE PICTURE FRAME,8.5,11,93.5,421.0,3578.5,3485.0,2.6128266033254155
686,FAMILY PHOTO FRAME CORNICE,8.5,2,17.0,156.0,1326.0,1309.0,1.282051282051282
687,FAMILY PHOTO FRAME CORNICE,9.95,29,288.54999999999995,506.0,5034.7,4746.15,5.7312252964426875
688,"FANCY FONT BIRTHDAY CARD,",0.42,12,5.04,3132.0,1315.44,1310.4,0.38314176245210724
689,FAWN BLUE HOT WATER BOTTLE,2.55,62,158.1,480.0,1224.0,1065.9,12.916666666666668
690,FAWN BLUE HOT WATER BOTTLE,2.95,20,59.0,604.0,1781.8000000000002,1722.8000000000002,3.3112582781456954
691,FAWN BLUE HOT WATER BOTTLE,3.75,6,22.5,509.0,1908.75,1886.25,1.1787819253438114
692,"FEATHER PEN,COAL BLACK",0.39,206,80.33999999999999,1801.0,702.39,622.05,11.438089950027761
693,"FEATHER PEN,HOT PINK",0.85,72,61.2,384.0,326.4,265.2,18.75
694,"FEATHER PEN,LIGHT PINK",0.39,12,4.68,1261.0,491.78999999999996,487.10999999999996,0.9516256938937351
695,"FEATHER PEN,LIGHT PINK",0.85,72,61.2,237.0,201.45,140.25,30.37974683544304
696,FELT EGG COSY BLUE RABBIT,0.85,4,3.4,346.0,294.09999999999997,290.7,1.1560693641618496
697,FELT EGG COSY CHICKEN,0.85,5,4.25,752.0,639.1999999999999,634.9499999999999,0.6648936170212766
699,FELT EGG COSY WHITE RABBIT,0.85,4,3.4,453.0,385.04999999999995,381.65,0.8830022075055187
700,FELT FARM ANIMAL RABBIT,1.25,6,7.5,277.0,346.25,338.75,2.166064981949458
701,FELTCRAFT 6 FLOWER FRIENDS,1.85,600,1110.0,3156.0,5838.6,4728.6,19.011406844106464
702,FELTCRAFT 6 FLOWER FRIENDS,2.1,23,48.3,2411.0,5063.1,5014.8,0.953961012028204
703,FELTCRAFT BOY JEAN-PAUL KIT,4.95,7,34.65,301.0,1489.95,1455.3,2.3255813953488373
704,FELTCRAFT BUTTERFLY HEARTS,1.25,840,1050.0,2648.0,3310.0,2260.0,31.722054380664655
705,FELTCRAFT BUTTERFLY HEARTS,1.45,36,52.199999999999996,3055.0,4429.75,4377.55,1.1783960720130933
707,FELTCRAFT CHRISTMAS FAIRY,4.25,17,72.25,904.0,3842.0,3769.75,1.8805309734513276
708,FELTCRAFT CUSHION BUTTERFLY,3.39,192,650.88,1232.0,4176.4800000000005,3525.6000000000004,15.584415584415584
709,FELTCRAFT CUSHION BUTTERFLY,3.75,2,7.5,1288.0,4830.0,4822.5,0.15527950310559005
710,FELTCRAFT CUSHION OWL,3.39,288,976.32,1435.0,4864.65,3888.3299999999995,20.069686411149824
711,FELTCRAFT CUSHION OWL,3.75,13,48.75,1592.0,5970.0,5921.25,0.8165829145728644
712,FELTCRAFT CUSHION RABBIT,3.39,240,813.6,1636.0,5546.04,4732.44,14.66992665036675
713,FELTCRAFT CUSHION RABBIT,3.75,5,18.75,1199.0,4496.25,4477.5,0.4170141784820684
714,FELTCRAFT DOLL EMILY,2.95,7,20.650000000000002,862.0,2542.9000000000005,2522.2500000000005,0.8120649651972157
715,FELTCRAFT DOLL MARIA,2.95,1,2.95,103.0,303.85,300.90000000000003,0.9708737864077669
716,FELTCRAFT DOLL MOLLY,2.3,720,1655.9999999999998,720.0,1655.9999999999998,0.0,100.0
717,FELTCRAFT DOLL MOLLY,2.55,720,1836.0,2172.0,5538.6,3702.6000000000004,33.14917127071823
718,FELTCRAFT DOLL MOLLY,2.95,6,17.700000000000003,1119.0,3301.0500000000006,3283.350000000001,0.5361930294906166
719,FELTCRAFT DOLL ROSIE,2.95,8,23.6,1031.0,3041.4500000000003,3017.8500000000004,0.7759456838021339
720,FELTCRAFT GIRL AMELIE KIT,4.95,14,69.3,765.0,3786.75,3717.45,1.8300653594771243
721,FELTCRAFT GIRL NICOLE KIT,4.95,13,64.35,561.0,2776.9500000000003,2712.6000000000004,2.3172905525846703
722,FELTCRAFT HAIRBAND PINK AND BLUE,0.85,48,40.800000000000004,765.0,650.25,609.45,6.2745098039215685
723,FELTCRAFT PRINCESS LOLA DOLL,3.75,6,22.5,1154.0,4327.5,4305.0,0.5199306759098787
724,FELTCRAFT PRINCESS OLIVIA DOLL,3.75,2,7.5,726.0,2722.5,2715.0,0.27548209366391185
725,FILIGREE HEART BIRD WHITE,1.04,144,149.76,216.0,224.64,74.88,66.66666666666666
726,FILIGREE HEART BUTTERFLY WHITE,1.25,6,7.5,1322.0,1652.5,1645.0,0.45385779122541603
727,FILIGREE HEART DAISY WHITE,1.25,48,60.0,959.0,1198.75,1138.75,5.005213764337852
728,FILIGRIS HEART WITH BUTTERFLY,1.25,3,3.75,2577.0,3221.25,3217.5,0.11641443538998836
729,FINE WICKER HEART,1.25,12,15.0,1716.0,2145.0,2130.0,0.6993006993006993
730,FIRST AID TIN,3.25,43,139.75,533.0,1732.25,1592.5,8.067542213883677
731,FIVE HEART HANGING DECORATION,2.95,7,20.650000000000002,291.0,858.4500000000002,837.8000000000002,2.405498281786942
732,FLAG OF ST GEORGE CHAIR,5.95,1,5.95,11.0,65.45,59.5,9.090909090909092
734,FLOOR CUSHION ELEPHANT CARNIVAL,8.95,1,8.95,30.0,268.5,259.55,3.3333333333333335
735,FLORAL FOLK STATIONERY SET,1.25,12,15.0,923.0,1153.75,1138.75,1.3001083423618636
736,FLOWER VINE RAFFIA FOOD COVER,3.75,5,18.75,273.0,1023.75,1005.0,1.8315018315018317
737,FLOWERS CHANDELIER T-LIGHT HOLDER,1.0,192,192.0,240.0,240.0,48.0,80.0
738,FLOWERS CHANDELIER T-LIGHT HOLDER,5.39,240,1293.6,240.0,1293.6,0.0,100.0
739,FLOWERS CHANDELIER T-LIGHT HOLDER,6.25,3,18.75,85.0,531.25,512.5,3.5294117647058822
740,FLUTED ANTIQUE CANDLE HOLDER,0.85,12,10.2,1612.0,1370.1999999999998,1359.9999999999998,0.7444168734491315
741,FLYING PIG WATERING CAN,2.95,4,11.8,85.0,250.75000000000003,238.95000000000002,4.705882352941177
742,FOLDING UMBRELLA CREAM POLKADOT,4.95,1,4.95,115.0,569.25,564.3,0.8695652173913043
743,"FOLK ART GREETING CARD,pack/12",2.95,11,32.45,23.0,67.85000000000001,35.400000000000006,47.82608695652174
744,FOLKART HEART NAPKIN RINGS,0.79,24,18.96,139.0,109.81,90.85,17.26618705035971
745,FOLKART STAR CHRISTMAS DECORATIONS,1.25,24,30.0,95.0,118.75,88.75,25.263157894736842
746,FOLKART ZINC HEART CHRISTMAS DEC,0.85,1,0.85,1357.0,1153.45,1152.6000000000001,0.07369196757553427
747,FOOD CONTAINER SET 3 LOVE HEART,1.95,1,1.95,598.0,1166.1,1164.1499999999999,0.16722408026755853
748,FOOD COVER WITH BEADS SET 2,3.75,8,30.0,538.0,2017.5,1987.5,1.486988847583643
749,FOOT STOOL HOME SWEET HOME,9.95,6,59.699999999999996,268.0,2666.6,2606.9,2.2388059701492535
750,FORKED CACTUS CANDLE,2.95,1,2.95,77.0,227.15000000000003,224.20000000000005,1.2987012987012987
751,FOUR HOOK  WHITE LOVEBIRDS,2.1,21,44.1,1038.0,2179.8,2135.7000000000003,2.023121387283237
752,FRAPPUCINO SCARF KNITTING KIT,1.25,9,11.25,287.0,358.75,347.5,3.1358885017421603
753,FRENCH BATHROOM SIGN BLUE METAL,1.65,16,26.4,1019.0,1681.3499999999997,1654.9499999999996,1.5701668302257115
754,FRENCH BLUE METAL DOOR SIGN 0,1.25,10,12.5,523.0,653.75,641.25,1.9120458891013385
755,FRENCH BLUE METAL DOOR SIGN 1,1.25,11,13.75,1006.0,1257.5,1243.75,1.0934393638170974
756,FRENCH BLUE METAL DOOR SIGN 2,1.25,11,13.75,843.0,1053.75,1040.0,1.3048635824436536
757,FRENCH BLUE METAL DOOR SIGN 3,1.25,11,13.75,718.0,897.5,883.75,1.532033426183844
758,FRENCH BLUE METAL DOOR SIGN 4,1.25,10,12.5,625.0,781.25,768.75,1.6
759,FRENCH BLUE METAL DOOR SIGN 5,1.25,30,37.5,713.0,891.25,853.75,4.207573632538569
761,FRENCH BLUE METAL DOOR SIGN 6,1.25,11,13.75,605.0,756.25,742.5,1.8181818181818181
762,FRENCH BLUE METAL DOOR SIGN 7,1.25,11,13.75,597.0,746.25,732.5,1.8425460636515913
763,FRENCH BLUE METAL DOOR SIGN 8,1.25,12,15.0,543.0,678.75,663.75,2.209944751381215
764,FRENCH BLUE METAL DOOR SIGN 9,1.25,13,16.25,434.0,542.5,526.25,2.995391705069124
765,FRENCH BLUE METAL DOOR SIGN No,1.25,24,30.0,438.0,547.5,517.5,5.47945205479452
766,FRENCH CARRIAGE LANTERN,6.65,8,53.2,103.0,684.95,631.75,7.766990291262135
767,FRENCH CHATEAU LARGE PLATTER,1.95,5,9.75,60.0,117.0,107.25,8.333333333333332
768,FRENCH ENAMEL CANDLEHOLDER,1.69,4,6.76,402.0,679.38,672.62,0.9950248756218906
769,FRENCH ENAMEL CANDLEHOLDER,2.1,22,46.2,887.0,1862.7,1816.5,2.480270574971815
770,FRENCH ENAMEL POT W LID,1.25,2,2.5,195.0,243.75,241.25,1.0256410256410255
771,FRENCH ENAMEL POT W LID,2.95,2,5.9,205.0,604.7500000000001,598.8500000000001,0.975609756097561
772,FRENCH ENAMEL WATER BASIN,1.25,3,3.75,128.0,160.0,156.25,2.34375
773,FRENCH ENAMEL WATER BASIN,3.75,5,18.75,128.0,480.0,461.25,3.90625
774,FRENCH FLORAL CUSHION COVER,0.85,12,10.2,402.0,341.7,331.5,2.9850746268656714
775,FRENCH GARDEN SIGN BLUE METAL,1.25,12,15.0,680.0,850.0,835.0,1.7647058823529411
776,FRENCH KITCHEN SIGN BLUE METAL,1.25,27,33.75,747.0,933.75,900.0,3.614457831325301
777,FRENCH LATTICE CUSHION COVER,0.85,12,10.2,293.0,249.04999999999998,238.85,4.09556313993174
778,FRENCH LAUNDRY SIGN BLUE METAL,1.45,1,1.45,96.0,139.2,137.75,1.0416666666666665
779,FRENCH LAVENDER SCENT HEART,2.1,3,6.300000000000001,86.0,180.6,174.29999999999998,3.488372093023256
780,FRENCH PAISLEY CUSHION COVER,0.83,12,9.96,134.0,111.22000000000001,101.26000000000002,8.955223880597014
781,FRENCH STYLE EMBOSSED HEART CABINET,21.95,2,43.9,13.0,285.34999999999997,241.44999999999996,15.384615384615385
782,FRENCH STYLE STORAGE JAR BONBONS,0.29,31,8.989999999999998,1930.0,559.6999999999999,550.7099999999999,1.6062176165803108
783,FRENCH STYLE STORAGE JAR BONBONS,1.25,6,7.5,6.0,7.5,0.0,100.0
784,FRENCH STYLE STORAGE JAR CAFE,0.29,6,1.7399999999999998,1207.0,350.03,348.28999999999996,0.4971002485501243
785,FRENCH STYLE STORAGE JAR CAFE,1.25,6,7.5,30.0,37.5,30.0,20.0
786,FRENCH STYLE STORAGE JAR JAM,0.29,1,0.29,275.0,79.75,79.46,0.36363636363636365
787,FRENCH TOILET SIGN BLUE METAL,1.25,13,16.25,908.0,1135.0,1118.75,1.4317180616740088
788,FRENCH WC SIGN BLUE METAL,1.25,5,6.25,1473.0,1841.25,1835.0,0.3394433129667346
789,FRIDGE MAGNETS LA VIE EN ROSE,0.85,37,31.450000000000003,858.0,729.3,697.8499999999999,4.312354312354312
790,FRIDGE MAGNETS LES ENFANTS ASSORTED,0.85,49,41.65,693.0,589.05,547.4,7.07070707070707
791,FRIDGE MAGNETS US DINER ASSORTED,0.85,30,25.5,840.0,714.0,688.5,3.571428571428571
792,FROG CANDLE,1.25,2,2.5,61.0,76.25,73.75,3.278688524590164
793,FRUIT TREE AND BIRDS WALL PLAQUE,7.95,3,23.85,13.0,103.35,79.5,23.076923076923077
794,FRYING PAN BLUE POLKADOT,4.25,2,8.5,42.0,178.5,170.0,4.761904761904762
795,FRYING PAN PINK POLKADOT,3.75,4,15.0,54.0,202.5,187.5,7.4074074074074066
796,FRYING PAN UNION FLAG,3.75,73,273.75,810.0,3037.5,2763.75,9.012345679012345
797,FRYING PAN UNION FLAG,4.25,2,8.5,348.0,1479.0,1470.5,0.5747126436781609
798,FULL ENGLISH BREAKFAST PLATE,3.39,26,88.14,640.0,2169.6,2081.46,4.0625
799,FULL ENGLISH BREAKFAST PLATE,3.75,7,26.25,524.0,1965.0,1938.75,1.3358778625954197
800,FUNKY DIVA PEN,0.85,51,43.349999999999994,6483.0,5510.549999999999,5467.199999999999,0.7866728366496992
801,FUNKY WASHING UP GLOVES ASSORTED,2.1,1,2.1,616.0,1293.6000000000001,1291.5000000000002,0.16233766233766234
802,GAOLERS KEYS DECORATIVE GARDEN,3.75,4,15.0,681.0,2553.75,2538.75,0.5873715124816447
803,GARDEN METAL SIGN,1.65,12,19.799999999999997,93.0,153.45,133.64999999999998,12.903225806451612
804,GARDEN PATH JOURNAL,2.55,1,2.55,138.0,351.9,349.34999999999997,0.7246376811594203
805,GARDENERS KNEELING PAD CUP OF TEA,1.45,96,139.2,2604.0,3775.7999999999997,3636.6,3.686635944700461
806,GARDENERS KNEELING PAD CUP OF TEA,1.65,56,92.4,3435.0,5667.749999999999,5575.349999999999,1.6302765647743813
807,GARDENERS KNEELING PAD KEEP CALM,1.45,96,139.2,2760.0,4001.9999999999995,3862.7999999999997,3.4782608695652173
808,GARDENERS KNEELING PAD KEEP CALM,1.65,16,26.4,4528.0,7471.199999999999,7444.799999999999,0.35335689045936397
809,GARDENIA 1 WICK MORRIS BOXED CANDLE,1.25,1,1.25,67.0,83.75,82.5,1.4925373134328357
810,GARDENIA 3 WICK MORRIS BOXED CANDLE,4.25,6,25.5,110.0,467.5,442.0,5.454545454545454
811,GARLAND WITH HEARTS AND BELLS,4.95,14,69.30000000000001,152.0,752.4000000000001,683.1000000000001,9.210526315789473
812,GARLAND WITH STARS AND BELLS,4.95,7,34.650000000000006,160.0,792.0,757.35,4.375
813,GARLAND WOODEN HAPPY EASTER,1.06,1,1.06,288.0,305.28,304.21999999999997,0.3472222222222222
814,GARLAND WOODEN HAPPY EASTER,1.25,3,3.75,1452.0,1815.0,1811.25,0.2066115702479339
815,GIANT 50'S CHRISTMAS CRACKER,2.89,1,2.89,1581.0,4569.09,4566.2,0.06325110689437065
816,GIFT BAG PSYCHEDELIC APPLES,0.65,12,7.800000000000001,676.0,439.40000000000003,431.6,1.7751479289940828
817,GIN & TONIC DIET GREETING CARD,0.42,36,15.120000000000001,2449.0,1028.58,1013.4599999999999,1.4699877501020826
818,GIN + TONIC DIET METAL SIGN,1.85,2001,3701.85,2096.0,3877.6,175.75,95.4675572519084
819,GIN + TONIC DIET METAL SIGN,2.08,1,2.08,1524.0,3169.92,3167.84,0.06561679790026247
820,GIN + TONIC DIET METAL SIGN,2.55,27,68.85,3770.0,9613.5,9544.65,0.7161803713527852
822,GIN AND TONIC MUG,1.25,20,25.0,1025.0,1281.25,1256.25,1.951219512195122
823,GIN AND TONIC MUG,1.65,1,1.65,291.0,480.15,478.5,0.3436426116838488
824,GINGERBREAD MAN COOKIE CUTTER,1.25,5,6.25,4153.0,5191.25,5185.0,0.12039489525644113
825,GINGHAM RECIPE BOOK BOX,4.95,1,4.95,309.0,1529.55,1524.6,0.3236245954692557
826,GIRAFFE WOODEN RULER,1.65,688,1135.2,1152.0,1900.8,765.5999999999999,59.72222222222222
827,GIRAFFE WOODEN RULER,1.95,20,39.0,1466.0,2858.7,2819.7,1.364256480218281
828,GLAMOROUS  MUG,1.25,4,5.0,483.0,603.75,598.75,0.8281573498964804
